Fecha,C—digo,Descripci—n,Precio Unitario,Costo Unitario,Cantidad Vendida
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,7
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,7
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-01,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,8
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,7
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,4
2022-02,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,6
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,5
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,2
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
2022-03,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
2022-04,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-04,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-04,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,1
2022-04,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,4
2022-04,10096015,NESTLE CLASSIC MILK 80G,15.9,12.2,3
